코드,종목명,시장,시가총액
322970,무진메디,KONEX,18436639492
032980,바이온,KOSDAQ,18354952980
465770,STX그린로지스,KOSPI,18250276440
226340,본느,KOSDAQ,18207350280
052960,태양3C,KONEX,18082188600
215480,토박스코리아,KOSDAQ,18034250000
224060,더코디,KOSDAQ,17959312560
039310,세중,KOSDAQ,17867963662
279600,미디어젠,KOSDAQ,17802167800
018620,우진비앤지,KOSDAQ,17766913350
086220,광동헬스바이오,KONEX,17686883810
368600,아이씨에이치,KOSDAQ,17621458740
008600,윌비스,KOSPI,17615839860
009440,KC그린홀딩스,KOSPI,17568790596
303030,지니틱스,KOSDAQ,17545724016
014100,메디앙스,KOSDAQ,17534800000
193250,링크드,KOSDAQ,17379612900
336040,타스컴,KONEX,17369787000
110020,전진바이오팜,KOSDAQ,17166353990
196700,웹스,KOSDAQ,17165152080
083470,이엠앤아이,KOSDAQ,17136284187
005257,녹십자홀딩스2우,KOSPI,17088998000
018700,졸스,KOSDAQ,16974549700
050760,에스폴리텍,KOSDAQ,16906391730
482680,미래에셋비전스팩7호,KOSDAQ,16881825000
289010,아이스크림에듀,KOSDAQ,16859814504
208640,썸에이지,KOSDAQ,16848070734
241820,피씨엘,KOSDAQ,16803871920
0070X0,에스테크엠,KONEX,16791200000
477380,미래에셋비전스팩4호,KOSDAQ,16645500000
001420,태원물산,KOSPI,16492000000
101680,한국정밀기계,KOSDAQ,16480244000
002070,비비안,KOSPI,16397626080
344860,이노진,KOSDAQ,16288620000
087260,모바일어플라이언스,KOSDAQ,16211324778
108675,LX하우시스우,KOSPI,16207581000
417180,핑거스토리,KOSDAQ,15986792820
405000,플라즈맵,KOSDAQ,15967927040
106520,노블엠앤비,KOSDAQ,15904036272
065770,CS,KOSDAQ,15839482080
032800,판타지오,KOSDAQ,15836801153
476710,타조이엔터테인먼트,KONEX,15830000000
377030,비트맥스,KOSDAQ,15784875360
0072Z0,KB제33호스팩,KOSDAQ,15738460000
001770,SHD,KOSPI,15671926200
900270,헝셩그룹,KOSDAQ,15643415264
00781K,코리아써키트2우B,KOSPI,15611284080
060480,국일신동,KOSDAQ,15526000000
032680,소프트센,KOSDAQ,15433351940
0101C0,하나36호스팩,KOSDAQ,15425820000
011090,에넥스,KOSPI,15393854824
005725,넥센우,KOSPI,15356559000
